POINT_ID,AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,REC_TIME,ID,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
1001,11.7,1177,41.4,3774,"25-6月 -18 12.00.00.000000000 上午",10001,1096,1329,0,9785,17161
1001,12.6,670,53.3,2383,"26-6月 -18 12.00.00.000000000 上午",10021,919,759,0,6241,10972
1001,6,192,56.5,889,"27-6月 -18 12.00.00.000000000 上午",10041,224,216,0,1493,3014
1001,7.6,528,59,2026,"28-6月 -18 12.00.00.000000000 上午",10061,565,699,0,4941,8759
1001,11.8,944,38.2,3613,"29-6月 -18 12.00.00.000000000 上午",10081,811,1099,0,6351,12818
1001,16.2,1447,31,5112,"30-6月 -18 12.00.00.000000000 上午",10101,1485,1772,0,13092,22908
1001,8.6,934,36.2,2438,"01-7月 -18 12.00.00.000000000 上午",10121,796,1100,0,5968,11236
1001,11.2,989,31.4,3059,"02-7月 -18 12.00.00.000000000 上午",10141,974,1120,0,7280,13422
1001,0,0,0,0,"03-7月 -18 12.00.00.000000000 上午",10161,0,0,0,0,0
1001,8.3,1048,24.9,3144,"04-7月 -18 12.00.00.000000000 上午",10181,897,1225,0,9069,15383
1001,13.9,716,34.6,2709,"05-7月 -18 12.00.00.000000000 上午",10201,1015,787,0,8020,13247
1001,19.6,1286,48.9,4981,"06-7月 -18 12.00.00.000000000 上午",10221,2052,1581,0,12186,22086
1001,23,1659,43.7,6914,"07-7月 -18 12.00.00.000000000 上午",10241,2379,2167,0,15824,28943
1001,17.2,1475,52.1,4854,"08-7月 -18 12.00.00.000000000 上午",10261,1506,1608,0,9422,18865
1001,17.4,1439,38.9,4945,"09-7月 -18 12.00.00.000000000 上午",10281,1450,1611,0,12858,22303
1001,16.6,953,27.4,3836,"10-7月 -18 12.00.00.000000000 上午",10301,1079,1141,0,9087,16096
1001,18,748,45.8,3587,"11-7月 -18 12.00.00.000000000 上午",10321,1253,933,0,6462,12983
1001,18.1,1276,54.6,5184,"12-7月 -18 12.00.00.000000000 上午",10341,1268,1525,0,11291,20544
1001,3.9,1324,85.2,1449,"13-7月 -18 12.00.00.000000000 上午",10361,876,1557,0,10021,15227
1001,1.7,817,103.9,569,"14-7月 -18 12.00.00.000000000 上午",10381,520,896,0,6524,9326
1001,1.4,708,105,550,"15-7月 -18 12.00.00.000000000 上午",10401,433,861,0,7037,9589
1001,1.9,741,102.6,660,"16-7月 -18 12.00.00.000000000 上午",10421,566,841,0,5766,8574
1001,1.9,220,68.3,385,"17-7月 -18 12.00.00.000000000 上午",10441,167,288,0,2451,3511
1001,2.1,998,101.9,834,"18-7月 -18 12.00.00.000000000 上午",10461,566,1021,0,6663,10082
1001,1.7,678,98.9,613,"19-7月 -18 12.00.00.000000000 上午",10481,437,825,0,5852,8405
1001,2.3,607,82.4,627,"20-7月 -18 12.00.00.000000000 上午",10501,391,679,0,4650,6954
1001,1.6,615,102.2,621,"21-7月 -18 12.00.00.000000000 上午",10521,421,726,0,6588,8971
1001,1,277,80.6,216,"22-7月 -18 12.00.00.000000000 上午",10541,210,333,0,3471,4507
1001,25.1,1859,47.1,7714,"23-7月 -18 12.00.00.000000000 上午",10561,1717,2118,0,13854,27262
1001,20.8,1483,60.6,6485,"24-7月 -18 12.00.00.000000000 上午",10581,1349,1706,0,11193,22216
1001,5.1,246,30.4,967,"25-7月 -18 12.00.00.000000000 上午",10601,190,276,0,2420,4099
1001,2.1,474,88.4,425,"26-7月 -18 12.00.00.000000000 上午",10621,341,623,0,3535,5398
1001,2,702,102.5,784,"27-7月 -18 12.00.00.000000000 上午",10641,523,899,0,6692,9600
